Oliver A. Iggesen. 2013. Asymmetrical Case-Marking.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/50, Accessed on 2025-11-01.)

wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	1	No case-marking	-29.0	-61.0	Abipon	Guaicuruan	Nominal Categories
abk	Abkhaz	2	Symmetrical	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
aco	Acoma	1	No case-marking	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
ain	Ainu	2	Symmetrical	43.0	143.0	Ainu	Ainu	Nominal Categories
ala	Alamblak	2	Symmetrical	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
alb	Albanian	6	Syncretism in relevant NP-types	41.0	20.0	Albanian	Indo-European	Nominal Categories
ale	Aleut	4	Subtractive-quantitatively asymmetrical	54.0	-166.0	Aleut	Eskimo-Aleut	Nominal Categories
ame	Amele	1	No case-marking	-5.25	145.583333333	Mabuso	Trans-New Guinea	Nominal Categories
amh	Amharic	2	Symmetrical	10.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
amu	Amuesha	2	Symmetrical	-10.5	-75.4166666667	Yanesha'	Arawakan	Nominal Categories
apu	Apurinã	2	Symmetrical	-9.0	-67.0	Purus	Arawakan	Nominal Categories
arb	Arabela	2	Symmetrical	-2.0	-75.1666666667	Zaparoan	Zaparoan	Nominal Categories
aeg	Arabic (Egyptian)	1	No case-marking	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
ana	Araona	3	Additive-quantitatively asymmetrical	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Nominal Categories
arp	Arapesh (Mountain)	1	No case-marking	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Categories
arm	Armenian (Eastern)	3	Additive-quantitatively asymmetrical	40.0	45.0	Armenian	Indo-European	Nominal Categories
asm	Asmat	1	No case-marking	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Nominal Categories
awp	Awa Pit	4	Subtractive-quantitatively asymmetrical	1.5	-78.25	Barbacoan	Barbacoan	Nominal Categories
aym	Aymara (Central)	2	Symmetrical	-17.0	-69.0	Aymaran	Aymaran	Nominal Categories
bag	Bagirmi	1	No case-marking	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
bam	Bambara	1	No case-marking	12.5	-7.5	Western Mande	Mande	Nominal Categories
brs	Barasano	2	Symmetrical	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Nominal Categories
bsq	Basque	6	Syncretism in relevant NP-types	43.0	-3.0	Basque	Basque	Nominal Categories
bkr	Batak (Karo)	1	No case-marking	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
baw	Bawm	2	Symmetrical	22.5	92.25	Kuki-Chin	Sino-Tibetan	Nominal Categories
bej	Beja	6	Syncretism in relevant NP-types	18.0	36.0	Beja	Afro-Asiatic	Nominal Categories
bec	Bengali (Chittagong)	4	Subtractive-quantitatively asymmetrical	22.3333333333	91.8333333333	Indic	Indo-European	Nominal Categories
bma	Berber (Middle Atlas)	4	Subtractive-quantitatively asymmetrical	33.0	-5.0	Berber	Afro-Asiatic	Nominal Categories
brh	Brahui	2	Symmetrical	28.5	67.0	Dravidian	Dravidian	Nominal Categories
bri	Bribri	3	Additive-quantitatively asymmetrical	9.41666666667	-83.0	Western Isthmic Chibchan	Chibchan	Nominal Categories
bul	Bulgarian	3	Additive-quantitatively asymmetrical	42.5	25.0	Slavic	Indo-European	Nominal Categories
brm	Burmese	2	Symmetrical	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Nominal Categories
bur	Burushaski	3	Additive-quantitatively asymmetrical	36.5	74.5	Burushaski	Burushaski	Nominal Categories
cah	Cahuilla	2	Symmetrical	33.5	-116.25	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
cnl	Canela	1	No case-marking	-7.0	-45.0	Je Setentrional	Macro-Ge	Nominal Categories
car	Carib	1	No case-marking	5.5	-56.0	Cariban	Cariban	Nominal Categories
ctl	Catalan	3	Additive-quantitatively asymmetrical	41.75	2.0	Romance	Indo-European	Nominal Categories
cyv	Cayuvava	2	Symmetrical	-13.5	-65.5	Cayuvava	Cayuvava	Nominal Categories
cha	Chamorro	1	No case-marking	13.45	144.75	Chamorro	Austronesian	Nominal Categories
cle	Chinantec (Lealao)	1	No case-marking	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	Nominal Categories
chk	Chukchi	4	Subtractive-quantitatively asymmetrical	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
cba	Chumash (Barbareño)	1	No case-marking	34.5	-120.25	Chumash	Chumash	Nominal Categories
chv	Chuvash	2	Symmetrical	55.5	47.5	Turkic	Altaic	Nominal Categories
cmn	Comanche	4	Subtractive-quantitatively asymmetrical	33.5	-101.5	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
coo	Coos (Hanis)	2	Symmetrical	43.5	-124.166666667	Coosan	Oregon Coast	Nominal Categories
cre	Cree (Plains)	2	Symmetrical	54.0	-110.0	Algonquian	Algic	Nominal Categories
dag	Daga	3	Additive-quantitatively asymmetrical	-10.0	149.333333333	Dagan	Trans-New Guinea	Nominal Categories
dni	Dani (Lower Grand Valley)	2	Symmetrical	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Nominal Categories
dio	Diola-Fogny	1	No case-marking	13.0	-16.25	Jola	Niger-Congo	Nominal Categories
don	Dong (Southern)	1	No case-marking	27.0	109.0	Kam-Tai	Tai-Kadai	Nominal Categories
dre	Drehu	1	No case-marking	-21.0	167.25	Oceanic	Austronesian	Nominal Categories
dut	Dutch	3	Additive-quantitatively asymmetrical	52.5	6.0	Germanic	Indo-European	Nominal Categories
dyi	Dyirbal	5	Qualitatively asymmetrical	-17.8333333333	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
eka	Ekari	3	Additive-quantitatively asymmetrical	-3.83333333333	135.5	Paniai Lakes	Trans-New Guinea	Nominal Categories
eng	English	3	Additive-quantitatively asymmetrical	52.0	0.0	Germanic	Indo-European	Nominal Categories
epe	Epena Pedee	2	Symmetrical	3.0	-77.0	Choco	Choco	Nominal Categories
